order_id,order_placement_date,customer_id,product_id,order_qty
FJUN471184,"Tuesday, June 02, 2026",789571,25891266,324
FJUN799022,"Tuesday, June 02, 2026",789126,25891092,286
FJUN685741,"Tuesday, June 02, 2026",789264,25891618,356
FJUN310865,"Tuesday, June 02, 2026",789264,25891178,101
FJUN754586,"Tuesday, June 02, 2026",789260,25891648,48
FJUN831233,"Tuesday, June 02, 2026",789617,25891326,217
FJUN799022,"Tuesday, June 02, 2026",789394,25891277,429
FJUN302672,"Tuesday, June 02, 2026",789260,25891525,296
FJUN678312,"Tuesday, June 02, 2026",789288,25891094,582
FJUN917762,"Tuesday, June 02, 2026",789281,25891103,79
FJUN549396,"Tuesday, June 02, 2026",789548,25891141,172
FJUN827583,"Tuesday, June 02, 2026",789356,25891158,313
FJUN678312,"Tuesday, June 02, 2026",789485,25891667,34
FJUN875670,"Tuesday, June 02, 2026",789520,25891428,477
FJUN413772,"Tuesday, June 02, 2026",789914,25891544,459
FJUN951944,"Tuesday, June 02, 2026",789325,25891292,341
FJUN754586,"Tuesday, June 02, 2026",789806,25891150,492
FJUN413772,"Tuesday, June 02, 2026",789713,25891495,503
FJUN741627,"Tuesday, June 02, 2026",789849,25891548,473
FJUN227464,"Tuesday, June 02, 2026",789427,25891187,268
FJUN354241,"Tuesday, June 02, 2026",789901,25891607,93
FJUN302672,"Tuesday, June 02, 2026",789514,25891626,534
FJUN177812,"Tuesday, June 02, 2026",789901,25891331,211
FJUN284536,"Tuesday, June 02, 2026",789710,25891097,318
FJUN912065,"Tuesday, June 02, 2026",789101,25891340,507
FJUN685741,"Tuesday, June 02, 2026",789625,25891101,343
FJUN833348,"Tuesday, June 02, 2026",789104,25891263,492
FJUN799022,"Tuesday, June 02, 2026",789265,25891195,107
FJUN951944,"Tuesday, June 02, 2026",789602,25891168,582
FJUN984473,"Tuesday, June 02, 2026",789827,25891195,156
FJUN754586,"Tuesday, June 02, 2026",789994,25891356,238
FJUN466421,"Tuesday, June 02, 2026",789527,25891473,220
FJUN685741,"Tuesday, June 02, 2026",789994,25891330,596
FJUN741627,"Tuesday, June 02, 2026",789715,25891533,327
FJUN678312,"Tuesday, June 02, 2026",789853,25891237,48
FJUN354241,"Tuesday, June 02, 2026",789298,25891224,245
FJUN302672,"Tuesday, June 02, 2026",789524,25891134,486
FJUN395891,"Tuesday, June 02, 2026",789802,25891453,433
FJUN799022,"Tuesday, June 02, 2026",789783,25891068,220
FJUN284536,"Tuesday, June 02, 2026",789887,25891011,45
FJUN103575,"Tuesday, June 02, 2026",789665,25891101,421
FJUN827583,"Tuesday, June 02, 2026",789264,25891285,317
FJUN827583,"Tuesday, June 02, 2026",789882,25891389,422
FJUN678312,"Tuesday, June 02, 2026",789548,25891492,123
FJUN827583,"Tuesday, June 02, 2026",789932,25891495,136
FJUN302672,"Tuesday, June 02, 2026",789504,25891305,522
FJUN471184,"Tuesday, June 02, 2026",789182,25891571,503
FJUN935582,"Tuesday, June 02, 2026",789302,25891525,443
FJUN227464,"Tuesday, June 02, 2026",789703,25891613,300
FJUN827583,"Tuesday, June 02, 2026",789901,25891352,133
